"Order.number.of.item","Label","PennElementType","PennElementName","Value","PROLIFIC_ID","group","experiment","item","condition","modal","parameter","Comments"
0,"introduction","PennController","0","Start","69480b53be885d580a398bf4","NULL","","","","","",""
0,"introduction","PennController","0","Start","69480b53be885d580a398bf4","NULL","","","","","",""
0,"introduction","PennController","0","End","69480b53be885d580a398bf4","NULL","","","","","",""
0,"introduction","PennController","0","End","69480b53be885d580a398bf4","NULL","","","","","",""
1,"data","PennController","1","Start","69480b53be885d580a398bf4","NULL","","","","","",""
1,"data","PennController","1","Start","69480b53be885d580a398bf4","NULL","","","","","",""
1,"data","PennController","1","End","69480b53be885d580a398bf4","NULL","","","","","",""
1,"data","PennController","1","End","69480b53be885d580a398bf4","NULL","","","","","",""
2,"consent","PennController","2","Start","69480b53be885d580a398bf4","NULL","","","","","",""
2,"consent","PennController","2","Start","69480b53be885d580a398bf4","NULL","","","","","",""
2,"consent","PennController","2","End","69480b53be885d580a398bf4","NULL","","","","","",""
2,"consent","PennController","2","End","69480b53be885d580a398bf4","NULL","","","","","",""
3,"commitment","PennController","3","Start","69480b53be885d580a398bf4","NULL","","","","","",""
3,"commitment","PennController","3","Start","69480b53be885d580a398bf4","NULL","","","","","",""
3,"commitment","PennController","3","End","69480b53be885d580a398bf4","NULL","","","","","",""
3,"commitment","Scale","response"," Ja ","69480b53be885d580a398bf4","NULL","","","","","",""
3,"commitment","PennController","3","End","69480b53be885d580a398bf4","NULL","","","","","",""
4,"instructions-accept","PennController","4","Start","69480b53be885d580a398bf4","NULL","","","","","",""
4,"instructions-accept","PennController","4","Start","69480b53be885d580a398bf4","NULL","","","","","",""
4,"instructions-accept","PennController","4","End","69480b53be885d580a398bf4","NULL","","","","","",""
4,"instructions-accept","PennController","4","End","69480b53be885d580a398bf4","NULL","","","","","",""
5,"practice-norming","PennController","9","Start","69480b53be885d580a398bf4","practice","practice-1","NULL","","","",""
5,"practice-norming","PennController","9","Start","69480b53be885d580a398bf4","practice","practice-1","NULL","","","",""
